54320	boring , uninspiring , uptight and snappy 	boring\B ,\O uninspiring\O ,\O uptight\O and\O snappy\O 	boring\B ,\O uninspiring\O ,\O uptight\O and\O snappy\O 
13850	Very helpful and goes through the work very clearly . Never leaves questions unanswered.Is always trying to find out who needs help . 	Very\O helpful\B and\O goes\O through\O the\O work\O very\O clearly\O .\O Never\O leaves\O questions\O unanswered.Is\O always\O trying\O to\O find\O out\O who\O needs\O help\O .\O 	Very\B helpful\O and\O goes\O through\O the\O work\O very\O clearly\O .\O Never\O leaves\O questions\O unanswered.Is\O always\O trying\O to\O find\O out\O who\O needs\O help\O .\O 
340	Explanation of the lesson is very good . 	Explanation\B of\I the\I lesson\I is\O very\O good\O .\O 	Explanation\O of\O the\O lesson\O is\O very\O good\B .\O 
28270	Really it was very important for me . Got an idea about the noun/verb analysis and CRC modeling for the first time . In my point of view it was good that you touched several parts of OOP concepts.The things you told about the ways of refering books were very important.Hope we would have more.. Thank you . 	Really\O it\B was\O very\O important\O for\O me\O .\O Got\O an\O idea\O about\O the\O noun/verb\O analysis\O and\O CRC\O modeling\O for\O the\O first\O time\O .\O In\O my\O point\O of\O view\O it\O was\O good\O that\O you\O touched\O several\O parts\O of\O OOP\O concepts.The\O things\O you\O told\O about\O the\O ways\O of\O refering\O books\O were\O very\O important.Hope\O we\O would\O have\O more..\O Thank\O you\O .\O 	Really\O it\O was\O very\B important\I for\O me\O .\O Got\O an\O idea\O about\O the\O noun/verb\O analysis\O and\O CRC\O modeling\O for\O the\O first\O time\O .\O In\O my\O point\O of\O view\O it\O was\O good\O that\O you\O touched\O several\O parts\O of\O OOP\O concepts.The\O things\O you\O told\O about\O the\O ways\O of\O refering\O books\O were\O very\O important.Hope\O we\O would\O have\O more..\O Thank\O you\O .\O 
42750	DDHT 459 was the best class I\ 've ever taken . I enjoyed him in 218 as well . 	DDHT\B 459\I was\O the\O best\O class\O I\\O 've\O ever\O taken\O .\O I\O enjoyed\O him\O in\O 218\O as\O well\O .\O 	DDHT\O 459\O was\O the\O best\B class\O I\\O 've\O ever\O taken\O .\O I\O enjoyed\O him\O in\O 218\O as\O well\O .\O 
3211	you inspired hope , ignite the imagination and instill a love of learning . Thankyou so much for everything sir . 	you\O inspired\O hope\O ,\O ignite\O the\O imagination\O and\O instill\O a\O love\O of\O learning\O .\O Thankyou\O so\O much\O for\O everything\O sir\B .\O 	you\O inspired\O hope\O ,\O ignite\O the\O imagination\O and\O instill\O a\O love\O of\O learning\O .\O Thankyou\B so\I much\I for\O everything\O sir\O .\O 
30820	we have not been doing any real life software tasks so far besides the CS20XX and P.Challenge . 	we\O have\O not\O been\O doing\O any\O real\B life\I software\I tasks\I so\O far\O besides\O the\O CS20XX\O and\O P.Challenge\O .\O 	we\B have\I not\I been\I doing\I any\O real\O life\O software\O tasks\O so\O far\O besides\O the\O CS20XX\O and\O P.Challenge\O .\O 
39350	This class probably gave me the most anxiety . I was literally shaking before each evaluation . This class is composed of 4 quizzes . Final is 35 % . Prof Kraay is definitely one of the best profs at Ryerson . My anxiety probably had to do with the fact that I was a 1st year student at that time but it also did not help having the lecture Friday evenings 	This\O class\B probably\O gave\O me\O the\O most\O anxiety\O .\O I\O was\O literally\O shaking\O before\O each\O evaluation\O .\O This\O class\O is\O composed\O of\O 4\O quizzes\O .\O Final\O is\O 35\O %\O .\O Prof\O Kraay\O is\O definitely\O one\O of\O the\O best\O profs\O at\O Ryerson\O .\O My\O anxiety\O probably\O had\O to\O do\O with\O the\O fact\O that\O I\O was\O a\O 1st\O year\O student\O at\O that\O time\O but\O it\O also\O did\O not\O help\O having\O the\O lecture\O Friday\O evenings\O 	This\O class\O probably\O gave\O me\O the\O most\B anxiety\I .\O I\O was\O literally\O shaking\O before\O each\O evaluation\O .\O This\O class\O is\O composed\O of\O 4\O quizzes\O .\O Final\O is\O 35\O %\O .\O Prof\O Kraay\O is\O definitely\O one\O of\O the\O best\O profs\O at\O Ryerson\O .\O My\O anxiety\O probably\O had\O to\O do\O with\O the\O fact\O that\O I\O was\O a\O 1st\O year\O student\O at\O that\O time\O but\O it\O also\O did\O not\O help\O having\O the\O lecture\O Friday\O evenings\O 
24011	Thank you for having good lectures.We find it useful.If really student concentrate on what is being taught he should have at least 70 % subject matters covered.In class exercises are useful and the way that labs are assigned help us to practice what we have studied ... ... Thanks for the lone tutorials.Please make sure in future though tutorials are need not to be mandatory , but some will find them useful.Really some students learn from doing questions ... ... ... . 	Thank\O you\O for\O having\O good\O lectures.We\O find\O it\B useful.If\O really\O student\O concentrate\O on\O what\O is\O being\O taught\O he\O should\O have\O at\O least\O 70\O %\O subject\O matters\O covered.In\O class\O exercises\O are\O useful\O and\O the\O way\O that\O labs\O are\O assigned\O help\O us\O to\O practice\O what\O we\O have\O studied\O ...\O ...\O Thanks\O for\O the\O lone\O tutorials.Please\O make\O sure\O in\O future\O though\O tutorials\O are\O need\O not\O to\O be\O mandatory\O ,\O but\O some\O will\O find\O them\O useful.Really\O some\O students\O learn\O from\O doing\O questions\O ...\O ...\O ...\O .\O 	Thank\O you\O for\O having\O good\O lectures.We\O find\O it\O useful\B .If\O really\O student\O concentrate\O on\O what\O is\O being\O taught\O he\O should\O have\O at\O least\O 70\O %\O subject\O matters\O covered.In\O class\O exercises\O are\O useful\O and\O the\O way\O that\O labs\O are\O assigned\O help\O us\O to\O practice\O what\O we\O have\O studied\O ...\O ...\O Thanks\O for\O the\O lone\O tutorials.Please\O make\O sure\O in\O future\O though\O tutorials\O are\O need\O not\O to\O be\O mandatory\O ,\O but\O some\O will\O find\O them\O useful.Really\O some\O students\O learn\O from\O doing\O questions\O ...\O ...\O ...\O .\O 
56420	Pretty good teacher , his voice is so relaxing . He is not the easiest grader though . Class is cancelled and you get out early a lot . 	Pretty\O good\O teacher\B ,\O his\O voice\O is\O so\O relaxing\O .\O He\O is\O not\O the\O easiest\O grader\O though\O .\O Class\O is\O cancelled\O and\O you\O get\O out\O early\O a\O lot\O .\O 	Pretty\B good\I teacher\O ,\O his\O voice\O is\O so\O relaxing\O .\O He\O is\O not\O the\O easiest\O grader\O though\O .\O Class\O is\O cancelled\O and\O you\O get\O out\O early\O a\O lot\O .\O 
4811	As a person and a lecturer , he is very good and kind . We could understand almost everything he taught us . We are thankful if we could have a common room for electrical department since there is no proper place to stay and study during our free times . 	As\O a\O person\O and\O a\O lecturer\O ,\O he\O is\O very\O good\O and\O kind\B .\O We\O could\O understand\O almost\O everything\O he\O taught\O us\O .\O We\O are\O thankful\O if\O we\O could\O have\O a\O common\O room\O for\O electrical\O department\O since\O there\O is\O no\O proper\O place\O to\O stay\O and\O study\O during\O our\O free\O times\O .\O 	As\O a\O person\O and\O a\O lecturer\O ,\O he\O is\O very\O good\O and\O kind\B .\O We\O could\O understand\O almost\O everything\O he\O taught\O us\O .\O We\O are\O thankful\O if\O we\O could\O have\O a\O common\O room\O for\O electrical\O department\O since\O there\O is\O no\O proper\O place\O to\O stay\O and\O study\O during\O our\O free\O times\O .\O 
