11	Throughout the whole semester our focus was on to complete the project on time . But only 40 percent of the module 's marks were allocated to the project . So I would like to suggest that allocate at least 50 percent of the marks to the project to satisfy the effort of the students .	Throughout\O the\O whole\O semester\O our\O focus\O was\O on\O to\O complete\O the\O project\O on\O time\O .\O But\O only\O 40\O percent\O of\O the\O module\O 's\O marks\O were\O allocated\O to\O the\O project\O .\O So\O I\O would\O like\O to\O suggest\O that\O allocate\O at\O least\B 50\I percent\I of\I the\I marks\I to\O the\O project\O to\O satisfy\O the\O effort\O of\O the\O students\O .\O	Throughout\O the\O whole\O semester\O our\O focus\O was\O on\O to\O complete\O the\O project\O on\O time\O .\O But\O only\O 40\O percent\O of\O the\O module\O 's\O marks\O were\O allocated\O to\O the\O project\O .\O So\O I\O would\O like\O to\O suggest\O that\O allocate\O at\O least\O 50\O percent\O of\O the\O marks\O to\O the\O project\O to\O satisfy\B the\O effort\O of\O the\O students\O .\O
20	Duration for the OOSD semester project should extend to the 4th semester as in ICE stream . Because it will help students to come up with better product .	Duration\O for\O the\O OOSD\B semester\I project\I should\O extend\O to\O the\O 4th\O semester\O as\O in\O ICE\O stream\O .\O Because\O it\O will\O help\O students\O to\O come\O up\O with\O better\O product\O .\O	Duration\O for\O the\O OOSD\O semester\O project\O should\B extend\I to\O the\O 4th\O semester\O as\O in\O ICE\O stream\O .\O Because\O it\O will\O help\O students\O to\O come\O up\O with\O better\O product\O .\O
31	Duration for the OOSD semester project should extend to the 4th semester as in ICE stream . Because it will help students to come up with better product .	Duration\O for\O the\O OOSD\O semester\O project\O should\O extend\O to\O the\O 4th\O semester\O as\O in\O ICE\O stream\O .\O Because\O it\B will\O help\O students\O to\O come\O up\O with\O better\O product\O .\O	Duration\O for\O the\O OOSD\O semester\O project\O should\O extend\O to\O the\O 4th\O semester\O as\O in\O ICE\O stream\O .\O Because\O it\O will\O help\O students\O to\O come\O up\O with\O better\B product\O .\O
40	Both lecturers did a good job on delivering the subject matter efficiently . The class was not boring .	Both\O lecturers\O did\O a\O good\O job\O on\O delivering\B the\I subject\I matter\I efficiently\I .\O The\O class\O was\O not\O boring\O .\O	Both\O lecturers\O did\O a\O good\B job\O on\O delivering\O the\O subject\O matter\O efficiently\O .\O The\O class\O was\O not\O boring\O .\O
51	Both lecturers did a good job on delivering the subject matter efficiently . The class was not boring .	Both\O lecturers\O did\O a\O good\O job\O on\O delivering\O the\O subject\O matter\O efficiently\O .\O The\O class\B was\O not\O boring\O .\O	Both\O lecturers\O did\O a\O good\O job\O on\O delivering\O the\O subject\O matter\O efficiently\O .\O The\O class\O was\O not\B boring\I .\O
60	Increase the time allocated for design patterns because they are vital important .	Increase\O the\O time\B allocated\I for\I design\I patterns\I because\O they\O are\O vital\O important\O .\O	Increase\B the\O time\O allocated\O for\O design\O patterns\O because\O they\O are\O vital\O important\O .\O
71	Increase the time allocated for design patterns because they are vital important .	Increase\O the\O time\O allocated\O for\O design\O patterns\O because\O they\B are\O vital\O important\O .\O	Increase\O the\O time\O allocated\O for\O design\O patterns\O because\O they\O are\O vital\B important\O .\O
80	Useful lecture series	Useful\O lecture\B series\I	Useful\B lecture\O series\O
90	Lecture series was good and well organized .	Lecture\B series\I was\O good\O and\O well\O organized\O .\O	Lecture\O series\O was\O good\B and\O well\O organized\O .\O
101	Lecture series was good and well organized .	Lecture\B series\I was\O good\O and\O well\O organized\O .\O	Lecture\O series\O was\O good\O and\O well\B organized\O .\O
